2024-02-26 09:35:52,132 - INFO - Starting GH_Data
2024-02-26 10:01:39,393 - INFO - GHComponent Divide Curve Params: ('Name: Count, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:01:39,393 - INFO - GHComponent Divide Curve Params: ('Name: Kinks, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Boolean, Optional: False, Data: , Recipients: None',)
2024-02-26 10:01:39,393 - INFO - GHComponent Sphere Params: ('Name: Base, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Plane, Optional: False, Data: , Recipients: None',)
2024-02-26 10:01:39,394 - INFO - GHComponent Divide Curve Params: ('Name: Points, DataMapping: 0, Kind: output, DataEmitter: True, TypeName: Point, Optional: False, Data: , Recipients: [Surface,Sphere,c2bdf]',)
2024-02-26 10:01:39,394 - INFO - GHComponent Divide Curve Params: ('Name: Tangents, DataMapping: 0, Kind: output, DataEmitter: True, TypeName: Vector, Optional: False, Data: , Recipients: None',)
2024-02-26 10:01:39,394 - INFO - GHComponent Divide Curve Params: ('Name: Parameters, DataMapping: 0, Kind: output, DataEmitter: True, TypeName: Number, Optional: False, Data: , Recipients: None',)
2024-02-26 10:01:39,394 - INFO - GHComponent Sphere Params: ('Name: Base, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Plane, Optional: False, Data: , Recipients: None',)
2024-02-26 10:01:39,394 - INFO - GHComponent Divide Curve Params: ('Name: Count, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:01:39,394 - INFO - GHComponent Divide Curve Params: ('Name: Count, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:01:39,394 - INFO - GHComponent Sphere Params: ('Name: Radius, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Number, Optional: False, Data: , Recipients: None',)
2024-02-26 10:01:39,395 - INFO - GHComponent Range Params: ('Name: Steps, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:01:39,395 - INFO - GHComponent Construct Domain Params: ('Name: Domain end, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Number, Optional: False, Data: , Recipients: None',)
